Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=256, test_batch_size=256, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=128, test_batch_size=128, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 0, loss: 3.187735, train acc: 0.202257, train avg acc: 0.196805
Valdation 0, loss: 4.352219, validation acc: 0.065068, validation avg acc: 0.071429
Train 1, loss: 2.781819, train acc: 0.313368, train avg acc: 0.308751
Valdation 1, loss: 5.112522, validation acc: 0.054795, validation avg acc: 0.071429
Train 2, loss: 2.568107, train acc: 0.398438, train avg acc: 0.394356
Valdation 2, loss: 5.134979, validation acc: 0.075342, validation avg acc: 0.071429
Train 3, loss: 2.426121, train acc: 0.466146, train avg acc: 0.461107
Valdation 3, loss: 5.629580, validation acc: 0.082192, validation avg acc: 0.071429
Train 4, loss: 2.317091, train acc: 0.502604, train avg acc: 0.497159
Valdation 4, loss: 5.937020, validation acc: 0.054795, validation avg acc: 0.071429
Train 5, loss: 2.167596, train acc: 0.581597, train avg acc: 0.578733
Valdation 5, loss: 6.007182, validation acc: 0.082192, validation avg acc: 0.071429
Train 6, loss: 2.102698, train acc: 0.635417, train avg acc: 0.627456
Valdation 6, loss: 5.235404, validation acc: 0.082192, validation avg acc: 0.071429
Train 7, loss: 2.071827, train acc: 0.645833, train avg acc: 0.638146
Valdation 7, loss: 4.075475, validation acc: 0.099315, validation avg acc: 0.100244
Train 8, loss: 1.975266, train acc: 0.690104, train avg acc: 0.685688
