Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=2, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=2, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='nagoya_dataset', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='exp', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=32, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=2048, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 0, loss: 3.279461, train acc: 0.160590, train avg acc: 0.155693
Valdation 0, loss: 5.677938, validation acc: 0.082192, validation avg acc: 0.071429
Train 1, loss: 3.034212, train acc: 0.234375, train avg acc: 0.229212
Valdation 1, loss: 6.090577, validation acc: 0.054795, validation avg acc: 0.071429
Train 2, loss: 2.879775, train acc: 0.296007, train avg acc: 0.288157
Valdation 2, loss: 5.927611, validation acc: 0.082192, validation avg acc: 0.071429
Train 3, loss: 2.664207, train acc: 0.368056, train avg acc: 0.361854
Valdation 3, loss: 4.395169, validation acc: 0.106164, validation avg acc: 0.102949
Train 4, loss: 2.483545, train acc: 0.439236, train avg acc: 0.430616
Valdation 4, loss: 3.016145, validation acc: 0.195205, validation avg acc: 0.207708
Train 5, loss: 2.293028, train acc: 0.520833, train avg acc: 0.515324
Valdation 5, loss: 2.465733, validation acc: 0.383562, validation avg acc: 0.360368
Train 6, loss: 2.257581, train acc: 0.522569, train avg acc: 0.513107
Valdation 6, loss: 2.224358, validation acc: 0.537671, validation avg acc: 0.528765
Train 7, loss: 2.188765, train acc: 0.567708, train avg acc: 0.560371
Valdation 7, loss: 2.261432, validation acc: 0.571918, validation avg acc: 0.562033
Train 8, loss: 2.108426, train acc: 0.631944, train avg acc: 0.629508
Valdation 8, loss: 2.102837, validation acc: 0.585616, validation avg acc: 0.570933
Train 9, loss: 2.054815, train acc: 0.644097, train avg acc: 0.637900
Valdation 9, loss: 2.190055, validation acc: 0.626712, validation avg acc: 0.626321
Train 10, loss: 1.992170, train acc: 0.697049, train avg acc: 0.690901
Valdation 10, loss: 2.018133, validation acc: 0.695205, validation avg acc: 0.678501
Train 11, loss: 1.953150, train acc: 0.706597, train avg acc: 0.699913
Valdation 11, loss: 2.046332, validation acc: 0.691781, validation avg acc: 0.685556
Train 12, loss: 1.948628, train acc: 0.708333, train avg acc: 0.703051
