Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=64, test_batch_size=64, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 0, loss: 3.216590, train acc: 0.187500, train avg acc: 0.184998
Valdation 0, loss: 5.021359, validation acc: 0.082192, validation avg acc: 0.071429
Train 1, loss: 2.984977, train acc: 0.270833, train avg acc: 0.268439
Valdation 1, loss: 6.518566, validation acc: 0.054795, validation avg acc: 0.071429
Train 2, loss: 2.751264, train acc: 0.367188, train avg acc: 0.359728
Valdation 2, loss: 4.630160, validation acc: 0.082192, validation avg acc: 0.071429
Train 3, loss: 2.600886, train acc: 0.405382, train avg acc: 0.402331
Valdation 3, loss: 3.505592, validation acc: 0.154110, validation avg acc: 0.160243
Train 4, loss: 2.421839, train acc: 0.476562, train avg acc: 0.470278
Valdation 4, loss: 2.473343, validation acc: 0.400685, validation avg acc: 0.402957
Train 5, loss: 2.256391, train acc: 0.524306, train avg acc: 0.518713
Valdation 5, loss: 2.341734, validation acc: 0.527397, validation avg acc: 0.506185
Train 6, loss: 2.164351, train acc: 0.575521, train avg acc: 0.568671
Valdation 6, loss: 2.293501, validation acc: 0.517123, validation avg acc: 0.500183
Train 7, loss: 2.066920, train acc: 0.637153, train avg acc: 0.625974
Valdation 7, loss: 2.106689, validation acc: 0.633562, validation avg acc: 0.625894
Train 8, loss: 1.990358, train acc: 0.702257, train avg acc: 0.695665
Valdation 8, loss: 2.107933, validation acc: 0.636986, validation avg acc: 0.620602
Train 9, loss: 1.918774, train acc: 0.731771, train avg acc: 0.723805
Valdation 9, loss: 2.062412, validation acc: 0.695205, validation avg acc: 0.691967
Train 10, loss: 1.893967, train acc: 0.746528, train avg acc: 0.741675
Valdation 10, loss: 1.999114, validation acc: 0.732877, validation avg acc: 0.726544
Train 11, loss: 1.854170, train acc: 0.766493, train avg acc: 0.762254
Valdation 11, loss: 1.887200, validation acc: 0.784247, validation avg acc: 0.775030
Train 12, loss: 1.812581, train acc: 0.787326, train avg acc: 0.784225
Valdation 12, loss: 1.945016, validation acc: 0.722603, validation avg acc: 0.714633
Train 13, loss: 1.786796, train acc: 0.799479, train avg acc: 0.795452
Valdation 13, loss: 2.054138, validation acc: 0.640411, validation avg acc: 0.648067
Train 14, loss: 1.742226, train acc: 0.836806, train avg acc: 0.834482
Valdation 14, loss: 2.031000, validation acc: 0.664384, validation avg acc: 0.655379
Train 15, loss: 1.705557, train acc: 0.840278, train avg acc: 0.835289
Valdation 15, loss: 1.827956, validation acc: 0.832192, validation avg acc: 0.825692
Train 16, loss: 1.688803, train acc: 0.842882, train avg acc: 0.837988
Valdation 16, loss: 1.906150, validation acc: 0.753425, validation avg acc: 0.759007
Train 17, loss: 1.654840, train acc: 0.880208, train avg acc: 0.877934
Valdation 17, loss: 1.792819, validation acc: 0.804795, validation avg acc: 0.794894
Train 18, loss: 1.637355, train acc: 0.875000, train avg acc: 0.872043
Valdation 18, loss: 1.823543, validation acc: 0.808219, validation avg acc: 0.806670
Train 19, loss: 1.617237, train acc: 0.898438, train avg acc: 0.892022
Valdation 19, loss: 1.818553, validation acc: 0.832192, validation avg acc: 0.827113
Train 20, loss: 1.613875, train acc: 0.891493, train avg acc: 0.890521
Valdation 20, loss: 1.758419, validation acc: 0.808219, validation avg acc: 0.804514
Train 21, loss: 1.599718, train acc: 0.903646, train avg acc: 0.899201
Valdation 21, loss: 1.887179, validation acc: 0.736301, validation avg acc: 0.739163
Train 22, loss: 1.573004, train acc: 0.906250, train avg acc: 0.904042
Valdation 22, loss: 2.017889, validation acc: 0.664384, validation avg acc: 0.665217
Train 23, loss: 1.548333, train acc: 0.927951, train avg acc: 0.926313
Valdation 23, loss: 1.754624, validation acc: 0.821918, validation avg acc: 0.815958
Train 24, loss: 1.558610, train acc: 0.927083, train avg acc: 0.923444
Valdation 24, loss: 1.816565, validation acc: 0.811644, validation avg acc: 0.804456
Train 25, loss: 1.534727, train acc: 0.927951, train avg acc: 0.924390
Valdation 25, loss: 1.906571, validation acc: 0.750000, validation avg acc: 0.748961
