Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 0, loss: 3.682729, train acc: 0.161458, train avg acc: 0.159733
Valdation 0, loss: 4.830674, validation acc: 0.054795, validation avg acc: 0.071429
Train 1, loss: 3.335265, train acc: 0.232639, train avg acc: 0.227711
Valdation 1, loss: 3.368933, validation acc: 0.095890, validation avg acc: 0.091899
Train 2, loss: 2.815258, train acc: 0.309896, train avg acc: 0.303388
Valdation 2, loss: 2.555002, validation acc: 0.410959, validation avg acc: 0.400099
Train 3, loss: 2.543193, train acc: 0.394965, train avg acc: 0.388147
Valdation 3, loss: 2.476836, validation acc: 0.476027, validation avg acc: 0.472956
Train 4, loss: 2.422844, train acc: 0.442708, train avg acc: 0.435701
Valdation 4, loss: 2.296624, validation acc: 0.530822, validation avg acc: 0.532461
Train 5, loss: 2.269767, train acc: 0.513889, train avg acc: 0.508032
Valdation 5, loss: 2.313972, validation acc: 0.510274, validation avg acc: 0.501623
Train 6, loss: 2.183651, train acc: 0.565972, train avg acc: 0.557805
Valdation 6, loss: 2.120723, validation acc: 0.602740, validation avg acc: 0.594845
Train 7, loss: 2.135732, train acc: 0.610243, train avg acc: 0.603778
Valdation 7, loss: 2.117247, validation acc: 0.613014, validation avg acc: 0.600315
Train 8, loss: 2.083687, train acc: 0.644097, train avg acc: 0.636376
Valdation 8, loss: 2.115552, validation acc: 0.616438, validation avg acc: 0.605922
Train 9, loss: 2.012841, train acc: 0.659722, train avg acc: 0.652088
Valdation 9, loss: 1.993899, validation acc: 0.736301, validation avg acc: 0.729393
Train 10, loss: 2.005393, train acc: 0.690972, train avg acc: 0.686820
Valdation 10, loss: 2.054053, validation acc: 0.698630, validation avg acc: 0.686794
Train 11, loss: 1.969213, train acc: 0.696181, train avg acc: 0.691290
Valdation 11, loss: 1.979137, validation acc: 0.684932, validation avg acc: 0.670851
Train 12, loss: 1.925373, train acc: 0.723958, train avg acc: 0.719872
Valdation 12, loss: 1.984331, validation acc: 0.671233, validation avg acc: 0.663948
Train 13, loss: 1.885070, train acc: 0.726562, train avg acc: 0.722190
Valdation 13, loss: 1.985737, validation acc: 0.705479, validation avg acc: 0.700968
Train 14, loss: 1.830752, train acc: 0.776042, train avg acc: 0.771350
Valdation 14, loss: 1.821804, validation acc: 0.808219, validation avg acc: 0.806755
Train 15, loss: 1.816571, train acc: 0.791667, train avg acc: 0.788326
Valdation 15, loss: 2.285236, validation acc: 0.523973, validation avg acc: 0.503640
Train 16, loss: 1.792146, train acc: 0.804688, train avg acc: 0.802968
Valdation 16, loss: 1.934471, validation acc: 0.671233, validation avg acc: 0.654014
Train 17, loss: 1.767164, train acc: 0.818576, train avg acc: 0.815973
Valdation 17, loss: 1.807694, validation acc: 0.746575, validation avg acc: 0.746582
Train 18, loss: 1.732713, train acc: 0.822049, train avg acc: 0.819120
Valdation 18, loss: 1.907138, validation acc: 0.760274, validation avg acc: 0.751448
Train 19, loss: 1.732908, train acc: 0.829861, train avg acc: 0.824835
Valdation 19, loss: 1.980824, validation acc: 0.739726, validation avg acc: 0.727429
Train 20, loss: 1.710255, train acc: 0.841146, train avg acc: 0.838994
Valdation 20, loss: 2.138367, validation acc: 0.602740, validation avg acc: 0.617113
Train 21, loss: 1.712161, train acc: 0.848090, train avg acc: 0.845084
Valdation 21, loss: 1.747121, validation acc: 0.815068, validation avg acc: 0.811402
Train 22, loss: 1.671524, train acc: 0.867188, train avg acc: 0.863327
Valdation 22, loss: 1.822110, validation acc: 0.794521, validation avg acc: 0.788481
Train 23, loss: 1.640816, train acc: 0.881944, train avg acc: 0.879148
Valdation 23, loss: 1.772149, validation acc: 0.825342, validation avg acc: 0.824333
Train 24, loss: 1.623466, train acc: 0.883681, train avg acc: 0.883119
Valdation 24, loss: 1.804199, validation acc: 0.767123, validation avg acc: 0.767290
Train 25, loss: 1.628600, train acc: 0.868056, train avg acc: 0.864886
Valdation 25, loss: 1.932054, validation acc: 0.767123, validation avg acc: 0.766290
Train 26, loss: 1.606560, train acc: 0.885417, train avg acc: 0.881778
Valdation 26, loss: 1.835458, validation acc: 0.750000, validation avg acc: 0.748574
Train 27, loss: 1.618793, train acc: 0.880208, train avg acc: 0.877513
Valdation 27, loss: 1.800089, validation acc: 0.787671, validation avg acc: 0.794035
Train 28, loss: 1.592118, train acc: 0.909722, train avg acc: 0.909345
