Namespace(exp_name='exp', model='dgcnn', dataset='nagoya_dataset', batch_size=32, test_batch_size=32, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 2 devices
Train 0, loss: 3.710343, train acc: 0.139757, train avg acc: 0.137474
Valdation 0, loss: 5.184659, validation acc: 0.075342, validation avg acc: 0.071429
Train 1, loss: 3.462904, train acc: 0.190104, train avg acc: 0.187891
Valdation 1, loss: 3.487738, validation acc: 0.106164, validation avg acc: 0.101962
Train 2, loss: 2.935306, train acc: 0.269965, train avg acc: 0.263629
Valdation 2, loss: 2.757246, validation acc: 0.291096, validation avg acc: 0.294849
Train 3, loss: 2.751931, train acc: 0.317708, train avg acc: 0.311089
Valdation 3, loss: 2.658258, validation acc: 0.325342, validation avg acc: 0.321756
Train 4, loss: 2.539808, train acc: 0.421875, train avg acc: 0.413806
Valdation 4, loss: 2.504358, validation acc: 0.373288, validation avg acc: 0.378054
Train 5, loss: 2.455403, train acc: 0.433160, train avg acc: 0.427912
Valdation 5, loss: 2.391006, validation acc: 0.428082, validation avg acc: 0.411978
Train 6, loss: 2.328672, train acc: 0.490451, train avg acc: 0.481004
Valdation 6, loss: 2.767383, validation acc: 0.263699, validation avg acc: 0.253406
Train 7, loss: 2.304592, train acc: 0.493056, train avg acc: 0.484431
Valdation 7, loss: 2.476044, validation acc: 0.431507, validation avg acc: 0.407770
Train 8, loss: 2.247774, train acc: 0.552083, train avg acc: 0.543595
Valdation 8, loss: 2.753757, validation acc: 0.345890, validation avg acc: 0.320198
Train 9, loss: 2.172709, train acc: 0.571181, train avg acc: 0.564290
Valdation 9, loss: 2.406817, validation acc: 0.493151, validation avg acc: 0.475606
Train 10, loss: 2.178218, train acc: 0.559896, train avg acc: 0.554895
Valdation 10, loss: 2.449428, validation acc: 0.469178, validation avg acc: 0.447162
Train 11, loss: 2.123476, train acc: 0.589410, train avg acc: 0.581733
Valdation 11, loss: 2.643200, validation acc: 0.441781, validation avg acc: 0.418219
Train 12, loss: 2.111570, train acc: 0.607639, train avg acc: 0.602362
Valdation 12, loss: 2.604036, validation acc: 0.448630, validation avg acc: 0.424707
Train 13, loss: 2.078716, train acc: 0.619792, train avg acc: 0.614759
Valdation 13, loss: 2.840313, validation acc: 0.366438, validation avg acc: 0.351790
Train 14, loss: 2.011740, train acc: 0.651910, train avg acc: 0.647259
Valdation 14, loss: 2.780347, validation acc: 0.404110, validation avg acc: 0.386969
Train 15, loss: 2.011534, train acc: 0.670139, train avg acc: 0.666098
Valdation 15, loss: 3.708723, validation acc: 0.280822, validation avg acc: 0.259354
Train 16, loss: 2.006102, train acc: 0.674479, train avg acc: 0.667854
Valdation 16, loss: 2.647735, validation acc: 0.458904, validation avg acc: 0.433120
Train 17, loss: 1.971334, train acc: 0.680556, train avg acc: 0.675610
Valdation 17, loss: 2.679509, validation acc: 0.386986, validation avg acc: 0.371249
Train 18, loss: 1.933920, train acc: 0.708333, train avg acc: 0.699761
Valdation 18, loss: 3.108865, validation acc: 0.335616, validation avg acc: 0.325372
Train 19, loss: 1.941557, train acc: 0.703993, train avg acc: 0.694370
Valdation 19, loss: 3.018025, validation acc: 0.328767, validation avg acc: 0.311974
Train 20, loss: 1.907590, train acc: 0.708333, train avg acc: 0.702753
Valdation 20, loss: 2.688805, validation acc: 0.428082, validation avg acc: 0.411391
Train 21, loss: 1.908602, train acc: 0.721354, train avg acc: 0.716704
Valdation 21, loss: 3.025692, validation acc: 0.380137, validation avg acc: 0.360285
Train 22, loss: 1.876491, train acc: 0.738715, train avg acc: 0.731987
Valdation 22, loss: 2.774363, validation acc: 0.414384, validation avg acc: 0.398424
Train 23, loss: 1.883945, train acc: 0.732639, train avg acc: 0.725745
Valdation 23, loss: 3.068334, validation acc: 0.356164, validation avg acc: 0.334965
Train 24, loss: 1.834010, train acc: 0.762153, train avg acc: 0.756870
